year,cpi98,avg_income,share_90_100,share_90_95,share_95_99,share_99_100,share_99.5_100,share_99.9_100,share_99.99_100,top1_w_capgain
1987,1.4353,"34,328",36.48,11.99,13.74,10.75,7.76,3.73,1.3,11.84
1988,1.3788,"35,862",38.63,11.68,13.78,13.17,9.96,5.21,1.99,14.73
1989,1.3156,"35,607",38.47,11.81,14.05,12.61,9.37,4.74,1.74,13.9
1990,1.2482,"35,174",38.84,11.78,14.07,12.98,9.71,4.9,1.83,13.88
1991,1.1979,"34,137",38.38,11.95,14.26,12.17,8.9,4.36,1.61,12.76
1992,1.163,"34,345",39.82,11.94,14.4,13.48,10.11,5.21,2.02,14.3
1993,1.1291,"33,633",39.48,12.07,14.59,12.82,9.45,4.72,1.74,13.77
1994,1.1005,"34,107",39.6,12.09,14.65,12.85,9.45,4.7,1.73,13.72
1995,1.0705,"34,971",40.19,12.08,14.77,13.33,9.87,4.94,1.8,14.43
1996,1.0394,"35,682",40.95,11.98,15.11,13.85,10.18,5.31,2.1,15.01
1997,1.016,"37,046",41.25,11.97,14.96,14.32,10.79,5.73,2.34,15.8
1998,1,"38,739",41.44,12.02,14.83,14.58,11.14,6.04,2.57,16.37
